条件ID	判定レベル	実装マイルストーン	確認する画面	操作（何をすると起きるか）	合格基準（定量）	検証ID	確認方法	リリース影響	判定（合格/不合格/未実装）	実測値・所見	確認日	確認者
AC-02	L1 MVP必須	実装M1 データ基盤	設定変更履歴一覧	移行後に設定履歴を全件出力する	適用日付がNULLの行=0件	T-Z02	操作で確認	不可				
AC-04	L1 MVP必須	実装M1 データ基盤	従業員詳細 → 従業員一覧	単位給与額を変更し、適用日付＝翌月1日で保存する	当日時点での反映=0件（一覧は旧値のまま）	T-D04 C-006	操作で確認	不可				
AC-06	L1 MVP必須	実装M1 データ基盤	従業員詳細 → 従業員一覧	適用日付＝当日で保存する	反映の遅延=0（再読込で新値）	T-R02 T-R07 T-D06	操作で確認	不可				
AC-07	L1 MVP必須	実装M1 データ基盤	従業員詳細／設定履歴	設定を1回変更し、変更前後の履歴を突合する	履歴が1行増え、既存行の差分=0	T-D01 T-H01 R-01	操作＋実装レビュー	不可				
AC-08	L1 MVP必須	実装M1 データ基盤	設定変更履歴一覧	手動編集・予約・KOT取込・ジョブカン取込の4経路で変更する	【T-H02の②】手動編集／更新予約／CSVインポート(KOT)／CSVインポート(ジョブカン)の4種すべてが記録され、絞り込みできる	T-H02	操作で確認	不可				
AC-09	L1 MVP必須	実装M1 データ基盤	設定変更履歴一覧	予約を登録し、2つの日時を比較する	【T-H02の①】予約した行で 変更反映日時 ≠ 編集日時 になる（例：反映8/1・編集6/25）	T-H02	操作で確認	不可				
AC-40	L1 MVP必須	実装M1 データ基盤	設定インポート／実績の取込結果	同じCSVを2回取り込む／同一コードが2行あるCSVを取り込む	二重登録=0件（同じ外部IDの2回目は更新となり件数が増えない）。1つの外部IDが2つの従業員IDに紐づく=0件	T-I17 R-01	操作＋実装レビュー	不可				
AC-47	L1 MVP必須	実装M1 データ基盤	従業員登録／従業員詳細	ヘルプ先店舗を複数選び、店舗ごとの交通費を入力する	選んだ店舗数ぶんの入力欄が出る（EMP-001＝2件：S02=700・S03=900）。1つにまとめられない	T-R04 R-01	操作＋実装レビュー	不可				
AC-11	L0 リリース不可	実装M2 計算エンジン	給与実績一覧（月別・実績）	店舗フィルタで5店それぞれ出力し、合計を全社と突合する	店舗5店の合計 − 全社 = 0円（1,561,312円）	S-02 C-005 R-04	操作＋実装レビュー	★中止				
AC-05	L1 MVP必須	実装M2 計算エンジン	従業員一覧／設定履歴	適用日をまたぐ（またはバッチ実行後に）再表示する	適用日00:00以降に新値・ステータスが「適用中」	T-D05	操作で確認	不可				
AC-10	L1 MVP必須	実装M2 計算エンジン	給与実績一覧（月別・実績）	2026-05の実績を出力し、確定した算式で全行を検算する	全行で差分=0円（実績給与 EMP-001=357,600／EMP-002=300,250／EMP-003=154,300／EMP-005=407,912／EMP-007=341,250）	S-02 S-03 T-A02 T-A05 C-001 C-003 C-013	操作で確認	不可				
